Date,Username,User tag,Content,Mentions,link
"2022-11-01,23:26:11","(ed)ibilities","#4334","Probability is not covered in detail in general stats and we get more of that covered","",""
"2022-11-01,23:26:24","(ed)ibilities","#4334","Sometimes math and geometrical concepts gets thrown in lol","",""
"2022-11-01,23:26:37","(ed)ibilities","#4334","Statistics is essentially applied mathematics lol","",""
"2022-11-01,23:26:51","LJ","#9206","Probability for my investment to go tits up? Absolutely zero. 💎 <a:rocket:853675366026575893>","",""
"2022-11-01,23:27:20","LJ","#9206","-*business major, not a stats major*","",""
"2022-11-01,23:27:54","(ed)ibilities","#4334","There’s actually a difficult math concentration in the math major","",""
"2022-11-01,23:27:57","LJ","#9206","Stocks only go up. -Warren buffet, probably","",""
"2022-11-01,23:28:02","(ed)ibilities","#4334","Actuarial science","",""
"2022-11-01,23:28:14","LJ","#9206","ya Math no thanks","",""
"2022-11-01,23:28:24","LJ","#9206","I’ll stick with my little computer stuff","",""
"2022-11-01,23:28:34","(ed)ibilities","#4334","","","https://cdn.discordapp.com/attachments/720774832870129774/1037251858160431104/IMG_7154.png"
"2022-11-01,23:29:03","LJ","#9206","risk probability is a massive demand in insurance right now","",""
"2022-11-01,23:29:09","LJ","#9206","Huge demand for risk management too","",""
"2022-11-01,23:29:15","LJ","#9206","Obviously those two positions work together","",""
"2022-11-01,23:29:46","(ed)ibilities","#4334","I mean the major takes some of my classes","",""
"2022-11-01,23:29:59","LJ","#9206","I’ve been speaking to Pemco a lot, along with PayneWest, and that’s all they talk about. Risk management and related","",""
"2022-11-01,23:30:02","(ed)ibilities","#4334","We have a stats class called statistics for insurance something","",""
"2022-11-01,23:30:08","LJ","#9206","Yeah i bet","",""
"2022-11-01,23:30:44","LJ","#9206","data scientists also make mad bank oml","",""
"2022-11-01,23:30:54","LJ","#9206","Ez 6 figure","",""
"2022-11-01,23:30:58","LJ","#9206","no sweat honestly","",""
"2022-11-01,23:31:17","(ed)ibilities","#4334","Tbh, they do make more than data analysts","",""
"2022-11-01,23:31:26","LJ","#9206","oh ya for sure","",""
"2022-11-01,23:31:35","LJ","#9206","Poor data analyst maybe making 70-80","",""
"2022-11-01,23:31:36","(ed)ibilities","#4334","Data Science requires mathematical thinking","",""
"2022-11-01,23:31:57","(ed)ibilities","#4334","Like in SF, a data analyst would make $100-200k","",""
"2022-11-01,23:32:01","LJ","#9206","Honestly 70-80 a little generous too. Maybe like high 60s","",""
"2022-11-01,23:32:03","(ed)ibilities","#4334","Data science would be more than that","",""
"2022-11-01,23:32:19","LJ","#9206","Crazy","",""
"2022-11-01,23:32:30","(ed)ibilities","#4334","More than software engineering sometimes","",""
"2022-11-01,23:32:41","(ed)ibilities","#4334","Because it’s CS/Math combined, it’s fkin insane","",""
"2022-11-01,23:32:59","LJ","#9206","my mentor showed me an operations logistics manager position at boeing today that was posted for 150-180k today <:floosh:669719804072034314>","",""
"2022-11-01,23:33:14","(ed)ibilities","#4334","That’s why my professor keeps connecting geometry concepts on our stats class 😑","",""
"2022-11-01,23:33:53","(ed)ibilities","#4334","He’s like optional, but nice to know","",""
"2022-11-01,23:33:54","LJ","#9206","I don’t think my mentor realized how much money that meant to me. Obviously he is a professional and makes money like that","",""
"2022-11-01,23:34:30","LJ","#9206","ya crazy 💰","",""
"2022-11-01,23:34:53","(ed)ibilities","#4334","Sheesh, I’m happy with $100k lol","",""
"2022-11-01,23:35:07","LJ","#9206","Im happy with like 60 honestly","",""
"2022-11-01,23:35:11","LJ","#9206","Starting at least","",""
"2022-11-01,23:35:14","LJ","#9206","maybe","",""
"2022-11-01,23:35:15","LJ","#9206","lol","",""
"2022-11-01,23:35:32","LJ","#9206","Im just a down bad broke college kid","",""
"2022-11-01,23:35:46","(ed)ibilities","#4334","Marketing field pays a lot thou","",""
"2022-11-01,23:35:54","LJ","#9206","marketing <:weirdChamp:641149569346043924>","",""
"2022-11-01,23:35:57","(ed)ibilities","#4334","Marketing analytics to me could be something","",""
"2022-11-02,00:22:27","squg tomato","#5955","marketing is actively evil though","",""
"2022-11-02,11:12:27","beepbop","#9164","my history 105 teacher is such a boss, he just made like 80% of the remaining work optional lmao","",""
"2022-11-02,11:15:16","beepbop","#9164","Which is amazing because we just finished the most interesting topics, drug trade and imperialism and now just have the worst Zzzzz units left","",""
"2022-11-02,11:23:13","(ed)ibilities","#4334","Who’s your professor?","beepbop#9164",""
"2022-11-02,11:23:30","beepbop","#9164","Dr. Foss via global","(ed)ibilities#4334",""
"2022-11-02,11:36:37","Jared","#5937","I took 305 and only did like 20% of the final paper and he still gave me a B lol","",""
"2022-11-02,11:37:18","Jared","#5937","Idk which prof I had","",""
"2022-11-02,11:38:43","beepbop","#9164","sheeeeeesh","",""
"2022-11-02,11:39:06","beepbop","#9164","I don't like history that much to have taken 305 lol","",""
"2022-11-02,11:41:45","jacob_m","#5285","305 is 105 for transfer students it usually a bit less busy work","",""
"2022-11-02,11:42:11","LJ","#9206","i will be taking 105 instead of 305 because of a schedule conflict","",""
"2022-11-02,11:42:16","LJ","#9206","but they're the same class","",""
"2022-11-02,11:42:23","LJ","#9206","or rather fill in the same credit","",""
"2022-11-02,11:43:21","beepbop","#9164","Oooo","jacob_m#5285",""
"2022-11-02,11:49:47","Jared","#5937","yeah the class is just short papers and discussion posts","",""
"2022-11-02,11:50:06","Jared","#5937","and research assignments for the final paper","",""
"2022-11-02,11:50:24","beepbop","#9164","Oh whatttt I should've done that instead of getting a waiver to do global lol","",""
"2022-11-02,15:17:59","Kantaria","#3272","Wsu winter session 😬","",""
"2022-11-02,15:19:43","jacob_m","#5285","Only take it if you need it to graduate on time.  Not worth the money and lack of break / rest otherwise","",""
"2022-11-02,15:46:36","Kantaria","#3272","Just looked none of them are classes I need/want so I guess nevermind. It’ll be nice to have a break","",""
"2022-11-02,16:06:39","(ed)ibilities","#4334","Might take English 402. Idk","",""
"2022-11-02,16:06:59","beepbop","#9164","tech writing? its aight","",""
"2022-11-02,16:07:24","(ed)ibilities","#4334","holy crap it's 3 weeks lol","",""
"2022-11-02,16:07:37","(ed)ibilities","#4334","nvm, I might just focus on my internship over the break","",""
"2022-11-02,16:08:27","beepbop","#9164","Oh ewww during the break lol","",""
"2022-11-02,16:10:10","(ed)ibilities","#4334","Life's hard bruh. Tbh, my internship is saving me on rent","beepbop#9164",""
"2022-11-02,16:10:31","(ed)ibilities","#4334","I decided not to take out more loans to cover rent","",""
"2022-11-02,16:10:31","beepbop","#9164","Oh yeah I meant tech writing","",""
"2022-11-02,16:10:35","(ed)ibilities","#4334","oh yea","",""
"2022-11-02,16:10:39","beepbop","#9164","Thats good","",""
"2022-11-02,16:11:51","jacob_m","#5285","That one fills up almost immediately I would register asap if you want to take it.","(ed)ibilities#4334",""
"2022-11-02,16:12:49","(ed)ibilities","#4334","tbh, SEL alrdy taught me some principles on business writing","",""
"2022-11-02,16:13:09","(ed)ibilities","#4334","so I feel like I might learn the same stuff 🤦‍♂️","",""
"2022-11-02,17:23:47","Spoooky","#6969","So I gotta wait till student orientation to sign up for classes? That's 2 days before the semester starts are there gonna be any decent classes left 2 days before the semester starts?","",""
"2022-11-02,17:26:06","normal name","#8766","No probably not","",""
"2022-11-02,17:26:09","LJ","#9206","I was anxious about this too but I got into my classes fine","Spoooky#6969",""
"2022-11-02,17:26:30","LJ","#9206","you have to consider that technically enrollment is low right now","",""
"2022-11-02,17:26:36","LJ","#9206","The odds are in your favor","",""
"2022-11-02,17:26:40","normal name","#8766","Unless you are taking the common classes, then it’s prob fine","",""
"2022-11-02,17:27:01","LJ","#9206","Thinking about this too","(ed)ibilities#4334",""
"2022-11-02,17:27:14","Spoooky","#6969","I guess I'm more worried since my current school is so small that you can't get any good classes till you're high enough in credits to get first dibs","",""
"2022-11-02,17:27:24","normal name","#8766","Do not take 402 with gowdy-burke ever","LJ#9206",""
"2022-11-02,17:27:29","LJ","#9206","I’m kind of hard pressed to take classes wherever I Can since I dropped my calc class this semester and stretching 2 majors","",""
"2022-11-02,17:28:12","LJ","#9206","Honestly my calculus credit requirement is stressing me the fuck out","",""
"2022-11-02,17:28:20","(ed)ibilities","#4334","taking it in winter just lightens the workload for me next semester","",""
"2022-11-02,17:28:22","LJ","#9206","If I can’t pass it now I’m not sure how I’m going to later","",""
"2022-11-02,17:28:29","beepbop","#9164","Yea def pick an ez professor for 402","",""
"2022-11-02,17:28:38","beepbop","#9164","or it'll be aids i hear","",""
"2022-11-02,17:34:19","normal name","#8766","😔it is","beepbop#9164",""
"2022-11-02,17:34:36","beepbop","#9164","ripppp","normal name#8766",""
